Food,Category,Diet,Meal_Type,Cuisine,Unit,Price,Calories,Protein,Carbs,Fat,Max_Quantity
Swiss Chard,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Mediterranean,kg,250,190,20,40,3,1.0
Collard Greens,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",American,kg,300,330,30,60,5,1.0
Bok Choy,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Chinese,Asian",kg,180,130,13,25,2,2.0
Chinese Cabbage,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Chinese,Asian",kg,150,160,13,30,2,2.0
Bean Sprouts,Vegetable,"Vegetarian,Vegan","Breakfast,Lunch",Asian,kg,160,300,35,60,2,1.5
Snow Peas,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Asian,kg,250,420,30,90,5,1.0
Eggplant,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Mediterranean,Middle Eastern",kg,70,250,10,60,2,2.0
Artichoke Hearts,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Mediterranean,kg,450,470,30,110,2,1.0
Green Bell Pepper,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Mexican,kg,120,200,20,46,2,2.0
Red Bell Pepper,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Mexican,Western",kg,140,310,10,60,3,2.0
Yellow Bell Pepper,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Mexican,Western",kg,140,270,10,60,3,2.0
Fennel Bulb,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Italian,Mediterranean",kg,300,310,16,72,2,1.0
Turnip Greens,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,International",kg,120,220,30,50,3,1.5
Parsnip,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",European,kg,250,750,12,180,5,1.0
Green Pumpkin,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Asian,kg,100,260,10,65,2,2.0
Butternut Squash,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Western,kg,220,450,10,120,3,1.5
Sweet Corn Kernels,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Mexican,American",kg,120,860,33,190,15,2.0
Cranberries,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,500,460,5,125,2,0.7
Gooseberries,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,European",kg,250,440,10,100,3,1.0
Apricot,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Mediterranean,kg,300,480,14,110,4,1.0
Nectarine,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,300,440,10,110,3,1.0
Tangerine,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Mediterranean,kg,150,530,8,130,3,2.0
Fig Fresh,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Mediterranean,kg,350,740,20,190,3,1.0
Prunes,Dry Fruit,"Vegetarian,Vegan","Breakfast,Snack",European,kg,400,2400,20,640,4,0.5
Dried Apricots,Dry Fruit,"Vegetarian,Vegan","Breakfast,Snack",Mediterranean,kg,450,2400,35,620,5,0.5
Dried Figs,Dry Fruit,"Vegetarian,Vegan","Breakfast,Snack",Mediterranean,kg,450,2500,30,630,10,0.5
Raisins,Dry Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,International",kg,300,2990,30,790,3,0.5
Pecans,Nuts,"Vegetarian,Vegan","Breakfast,Snack",American,kg,1000,6910,90,140,720,0.4
Macadamia Nuts,Nuts,"Vegetarian,Vegan","Breakfast,Snack",Australian,kg,1500,7180,80,140,760,0.3
Pine Nuts,Nuts,"Vegetarian,Vegan","Breakfast,Snack",Mediterranean,kg,1200,6730,140,130,680,0.4
Hemp Seeds,Seeds,"Vegetarian,Vegan","Breakfast,Snack",International,kg,900,5530,310,80,490,0.4
Sesame Seed Butter,Spread,"Vegetarian,Vegan","Breakfast,Snack",Middle Eastern,kg,550,5950,170,210,530,0.5
Sushi Rice,Grain,"Vegetarian,Vegan","Lunch,Dinner",Japanese,kg,180,3600,70,800,5,2.0
Miso,Protein,"Vegetarian,Vegan","Lunch,Dinner",Japanese,kg,300,2000,120,260,60,0.7
Kimchi,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Korean,kg,250,400,20,60,5,1.0
Nori Seaweed,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Japanese,kg,1500,3500,400,400,50,0.1
Rice Paper,Grain,"Vegetarian,Vegan","Lunch,Dinner",Vietnamese,kg,350,3500,50,800,5,1.0
Coconut Cream,Dairy Alternative,"Vegetarian,Vegan",Cooking,"Thai,Asian",litre,250,2100,20,40,220,1.0
Water Chestnut,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Asian,kg,250,970,20,220,2,1.0
Bamboo Shoots,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Asian,kg,250,270,25,50,2,1.0
Pak Choi,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Chinese,kg,180,130,13,25,2,2.0
Tofu Skin,Protein,"Vegetarian,Vegan","Lunch,Dinner",Chinese,kg,450,3000,450,120,180,0.8
Bulgur,Grain,"Vegetarian,Vegan","Lunch,Dinner","Middle Eastern,Mediterranean",kg,180,3420,120,760,15,2.0
Farro,Grain,"Vegetarian,Vegan","Lunch,Dinner",Italian,kg,300,3400,150,700,30,1.5
Orzo,Grain,"Vegetarian,Vegan","Lunch,Dinner",Italian,kg,180,3500,130,730,15,2.0
Halloumi,Dairy,Vegetarian,"Lunch,Dinner",Mediterranean,kg,800,3200,220,20,250,0.5
Labneh,Dairy,Vegetarian,"Breakfast,Snack",Middle Eastern,kg,350,1500,90,50,110,1.0
White Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Mediterranean,kg,180,3300,210,620,15,2.0
Muhammara,Spread,"Vegetarian,Vegan","Breakfast,Snack",Middle Eastern,kg,500,2500,70,180,180,0.5
Refried Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Mexican,kg,180,3300,210,600,40,1.5
Black Bean Pasta,Grain,"Vegetarian,Vegan","Lunch,Dinner","Mexican,Western",kg,300,3300,250,550,35,1.5
Salsa,Ingredient,"Vegetarian,Vegan","Lunch,Dinner",Mexican,kg,180,300,15,60,2,1.0
Guacamole,Spread,"Vegetarian,Vegan","Breakfast,Snack,Lunch",Mexican,kg,500,1600,20,85,150,1.0
Plantain,Fruit,"Vegetarian,Vegan","Lunch,Dinner","Caribbean,African",kg,100,1220,15,315,5,2.0
Potato Wedges,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Western,kg,180,3000,40,450,130,1.5
Peas Protein,Protein,"Vegetarian,Vegan","Breakfast,Lunch",Western,kg,500,3600,800,100,50,0.8
Protein Pasta,Grain,Vegetarian,"Lunch,Dinner",Western,kg,350,3400,250,600,50,1.5
Pancake Mix,Breakfast,Vegetarian,Breakfast,Western,kg,160,3600,90,750,30,1.5
Maple Syrup,Sweetener,"Vegetarian,Vegan",Breakfast,"Canadian,Western",litre,700,2600,0,670,0,0.3
Cocoa Powder,Ingredient,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,500,2300,200,580,140,0.3
Dark Chocolate,Snack,Vegetarian,Snack,Western,kg,900,5900,80,460,430,0.3
Popcorn Kernels,Snack,"Vegetarian,Vegan",Snack,American,kg,120,3800,130,780,45,1.0
Whole Grain Crackers,Snack,"Vegetarian,Vegan",Snack,Western,kg,220,4300,100,700,130,1.0
Tinned Tuna,Protein,Non-Vegetarian,"Lunch,Dinner",Western,kg,650,1160,260,0,20,0.8
Greek Salad Mix,Vegetable,Vegetarian,"Lunch,Dinner",Greek,kg,250,500,20,50,30,2.0
Falafel Mix,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Middle Eastern,kg,220,3500,180,500,90,1.5
Makki Atta,Grain,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,70,3600,80,760,35,3.0
Sama Rice,Grain,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,140,3500,70,750,25,2.0
Sabudana,Grain,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,80,3500,10,870,2,2.0
Singhara Flour,Grain,"Vegetarian,Vegan","Breakfast,Lunch",Indian,kg,180,3400,60,750,20,1.5
Rajgira Flour,Grain,"Vegetarian,Vegan","Breakfast,Lunch",Indian,kg,180,3700,140,650,70,1.5
Thalipeeth Flour,Grain,"Vegetarian,Vegan","Breakfast,Lunch",Indian,kg,120,3500,110,680,35,2.0
Sattu Flour,Pulse Flour,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,110,3800,220,580,60,2.0
Panchmel Dal,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,140,3450,230,610,25,2.0
Matki,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,130,3400,230,620,15,2.0
Kulith Dal,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,140,3300,220,590,15,2.0
Masoor Whole,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,120,3500,250,620,15,2.0
Green Moong Whole,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,130,3450,240,620,15,2.0
Kabuli Chana,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,110,3640,190,610,60,2.0
Black Urad,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,150,3400,250,590,15,2.0
Soy Flour,Protein,"Vegetarian,Vegan","Breakfast,Lunch",Indian,kg,180,4200,360,300,180,1.0
Sprouted Chana,Pulse,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,130,1100,80,190,20,2.0
Sprouted Moth,Pulse,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,130,1100,80,190,10,2.0
Hung Curd,Dairy,Vegetarian,"Breakfast,Snack",Indian,kg,140,900,100,60,40,2.0
Fresh Chaas,Dairy,Vegetarian,"Breakfast,Lunch",Indian,litre,55,400,16,30,16,5.0
Khoya/Mawa,Dairy,Vegetarian,"Breakfast,Snack",Indian,kg,450,3200,180,180,220,0.5
Tinda,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,70,160,8,35,2,2.0
Parwal,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,80,200,10,40,2,2.0
Kundru/Ivy Gourd,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,70,250,12,50,2,2.0
Gawar Phali,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,100,320,20,65,3,2.0
Kachri,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,90,220,10,45,2,1.5
Sarson Saag,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,80,270,25,45,3,2.0
Bathua,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,70,250,30,40,5,2.0
Chaulai/Amaranth Greens,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,90,230,28,40,4,2.0
Lotus Stem/Kamal Kakdi,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,140,740,20,170,2,2.0
Raw Mango,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,100,600,8,150,4,2.0
Jamun,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,180,620,15,145,5,1.5
Ber,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,120,700,20,170,5,1.5
Bael,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,120,1370,20,320,15,1.5
Karonda,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,180,500,10,120,3,1.0
Kokum,Fruit,"Vegetarian,Vegan","Snack,Cooking",Indian,kg,250,700,10,170,2,0.5
Phalsa,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,220,500,15,120,5,1.0
Thepla,Prepared Food,Vegetarian,"Breakfast,Lunch",Indian,kg,180,3000,100,500,90,1.5
Khakhra,Prepared Food,Vegetarian,"Breakfast,Snack",Indian,kg,220,4000,120,650,90,1.0
Missi Roti,Prepared Food,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,150,3000,130,600,50,2.0
Makki Roti,Prepared Food,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,160,3300,80,700,40,2.0
Multigrain Roti,Prepared Food,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,160,3000,120,600,40,2.0
Bajra Roti,Prepared Food,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,150,3300,110,650,50,2.0
Jowar Roti,Prepared Food,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,150,3200,100,670,35,2.0
Ragi Roti,Prepared Food,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,160,3200,80,650,35,2.0
Sabudana Khichdi,Prepared Food,"Vegetarian,Vegan","Breakfast,Lunch",Indian,kg,180,2800,40,500,100,1.5
Poha Prepared,Prepared Food,"Vegetarian,Vegan",Breakfast,Indian,kg,140,1800,50,350,35,2.0
Upma Prepared,Prepared Food,Vegetarian,Breakfast,Indian,kg,150,1900,60,330,50,2.0
Vegetable Khichdi,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,160,1600,70,270,25,3.0
Dal Khichdi,Prepared Food,Vegetarian,"Lunch,Dinner",Indian,kg,180,1700,90,280,30,3.0
Rajma Chawal,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,200,1700,70,300,25,2.0
Chole Chawal,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,200,1800,70,310,30,2.0
Dal Tadka,Prepared Food,Vegetarian,"Lunch,Dinner",Indian,kg,180,1300,80,170,40,2.0
Palak Paneer,Prepared Food,Vegetarian,"Lunch,Dinner",Indian,kg,300,2200,130,100,150,1.5
Chana Masala,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,200,1500,80,230,35,2.0
Aloo Gobi,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,160,1100,35,180,30,2.0
Bhindi Sabzi,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,180,1000,35,130,40,2.0
Baingan Bharta,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,180,900,25,120,35,2.0
Lauki Dal,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,180,1000,70,140,25,2.0
Sambar,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,180,900,55,130,15,2.0
Rasam,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,160,500,20,80,8,3.0
Vegetable Pulao,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,190,1500,40,260,35,2.0
Biryani Rice,Prepared Food,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,220,1800,40,280,50,2.0
Chicken Biryani,Prepared Food,Non-Vegetarian,"Lunch,Dinner",Indian,kg,350,1900,110,240,55,2.0
Egg Biryani,Prepared Food,Non-Vegetarian,"Lunch,Dinner",Indian,kg,300,1800,100,250,45,2.0
Fish Curry,Prepared Food,Non-Vegetarian,"Lunch,Dinner",Indian,kg,350,1200,160,60,50,2.0
Chicken Tikka,Prepared Food,Non-Vegetarian,"Lunch,Dinner",Indian,kg,400,1650,300,40,45,1.5
Tandoori Chicken,Prepared Food,Non-Vegetarian,"Lunch,Dinner",Indian,kg,380,1700,290,30,60,1.5
Mutton Curry,Prepared Food,Non-Vegetarian,"Lunch,Dinner",Indian,kg,750,2500,230,40,170,1.0
Dhokla,Prepared Food,Vegetarian,"Breakfast,Snack",Indian,kg,200,1500,80,250,25,1.5
Idli,Prepared Food,"Vegetarian,Vegan",Breakfast,Indian,kg,160,1500,50,300,10,2.0
Plain Dosa,Prepared Food,"Vegetarian,Vegan","Breakfast,Dinner",Indian,kg,180,1900,50,300,50,2.0
Uttapam,Prepared Food,"Vegetarian,Vegan","Breakfast,Dinner",Indian,kg,200,1800,60,280,45,2.0
Appam,Prepared Food,"Vegetarian,Vegan","Breakfast,Dinner",Indian,kg,220,1800,40,330,30,2.0
Pesarattu,Prepared Food,"Vegetarian,Vegan",Breakfast,Indian,kg,200,1700,100,250,25,2.0
Misal Pav,Prepared Food,Vegetarian,"Breakfast,Lunch",Indian,kg,220,1800,70,280,50,2.0
Pav Bhaji,Prepared Food,Vegetarian,"Lunch,Dinner",Indian,kg,220,1500,45,230,45,2.0
Vada Pav,Prepared Food,Vegetarian,"Breakfast,Snack",Indian,kg,180,3000,70,450,120,1.5
Vegetable Paratha,Prepared Food,Vegetarian,"Breakfast,Lunch",Indian,kg,180,3000,90,450,100,2.0
Aloo Paratha,Prepared Food,Vegetarian,"Breakfast,Lunch",Indian,kg,170,3100,80,470,100,2.0
Paneer Paratha,Prepared Food,Vegetarian,"Breakfast,Lunch",Indian,kg,280,3000,130,400,110,1.5
Pesarattu Batter,Prepared Food,"Vegetarian,Vegan",Breakfast,Indian,kg,180,3300,220,550,25,2.0
Kadhi,Prepared Food,Vegetarian,"Lunch,Dinner",Indian,kg,180,1100,55,100,45,2.0
Moong Chilla,Prepared Food,"Vegetarian,Vegan",Breakfast,Indian,kg,200,1600,130,230,30,2.0
Besan Chilla,Prepared Food,"Vegetarian,Vegan",Breakfast,Indian,kg,190,1700,130,250,40,2.0
Khandvi,Prepared Food,Vegetarian,"Breakfast,Snack",Indian,kg,280,1800,90,230,50,1.0
Shrikhand,Dairy,Vegetarian,"Breakfast,Snack",Indian,kg,350,3000,90,400,100,0.7
Poha Chivda,Snack,"Vegetarian,Vegan",Snack,Indian,kg,180,4500,80,650,180,1.0
Bhel Puri,Snack,"Vegetarian,Vegan",Snack,Indian,kg,180,2500,60,400,60,1.5
Roasted Makhana,Snack,"Vegetarian,Vegan",Snack,Indian,kg,350,3600,100,760,20,0.5
Peanut Chikki,Snack,Vegetarian,Snack,Indian,kg,300,5200,180,500,280,0.5
Til Chikki,Snack,"Vegetarian,Vegan",Snack,Indian,kg,350,5200,180,500,300,0.5
Dry Coconut Copra,Nuts,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,300,6600,70,240,620,0.5
Moringa Leaves,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,180,640,90,130,15,1.0
Drumstick Leaves,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,180,640,90,130,15,1.0
Colocasia Leaves,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,100,450,50,90,5,1.0
Agathi Leaves,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,120,450,70,80,5,1.0
Amaranth Leaves,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,100,230,28,40,4,2.0
Kohlrabi/Ganth Gobi,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,80,270,20,60,2,2.0
Chow Chow/Chayote,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,70,190,8,45,1,2.0
Snake Gourd,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,70,180,8,40,2,2.0
Ash Gourd,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,50,130,8,30,1,3.0
Cluster Beans,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,100,310,20,65,3,2.0
Broad Beans,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,120,340,25,65,3,2.0
Green Chickpeas,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,150,1100,80,180,25,2.0
Fresh Toor Pigeon Peas,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,180,1100,70,180,15,2.0
